motif_id,num_instances,avg_density_change,avg_ore_density_corr,avg_watermill_density_corr,avg_ore_lag,avg_watermill_lag,density_changes,ore_density_corrs,watermill_density_corrs
1,20,17.176504025763894,-0.6010798063927868,-0.5907154823322472,0.0,0.0,"[72.71809023120545, 11.530843530852735, -3.189554001772194, 23.860758940140386, -16.156288894571162, 14.274059469903705, 4.073993401918187, 93.8986644289455, 6.914681827784307, 9.26082807575608, -3.3991677612837066, 22.853950940722143, -6.147629360232486, 12.402800026163732, 11.819950324981392, -0.28228790623984423, 18.516125529507462, 80.1363667840094, -15.11309833872133, 5.55699326620811]","[-0.7653174269298776, -0.8553891901120718, -0.5596674962513596, -0.9771302858369715, 0.9980990548564217, -0.9713319315062766, -0.12660570281535935, -0.9513614028704829, -0.9344694984329366, -0.8928643611032308, -0.19426157744681277, -0.9755952142683638, -0.732269858815019, -0.9280542012058429, -0.8493766540078128, 0.21486732741566258, -0.6451956406542403, -0.9975800374742096, 0.016619061780628493, -0.894711092177582]","[-0.7619739824033152, -0.8409983371229671, -0.4592435805085543, -0.9753955719522529, 0.9933986099289184, -0.9588805607285504, -0.15019082372822598, -0.9669744316768715, -0.9283026573700304, -0.8969792285411541, -0.40097883938041273, -0.9474156376063864, -0.6263566669460533, -0.9175214606898849, -0.9228706380850088, -0.014378106154774377, -0.5394658447095689, -0.8576337620435792, 0.24141193150297052, -0.8835600584292409]"
2,20,3.280575323105984,-0.4196590346673396,0.3972095274321562,0.0,0.0,"[-4.814818363700397, -2.694998010119889, 10.819325896197824, 30.390580832156957, 57.062077362815444, 0.7576803255706182, -1.7848247843103309, -10.067797779756802, -14.774645431967429, 15.968185845268863, -19.121519465896426, -57.67048896921301, 8.614947275705845, 3.6737691635678402, 6.233914774484447, 31.409009707259884, -2.9804288838017783, -7.773350695769295, 19.279075997558266, 3.0858116660690484]","[-0.07242481335834466, -0.7800319074035728, -0.9371312573379689, -0.9484167936320456, -0.9033370135396198, -0.7970964970352236, -0.6464878524095775, 0.05805443007486134, 0.7869457307068608, -0.959435661141228, 0.018312260714058455, 0.7465678999499894, -0.9153821997713463, -0.392687673132366, -0.9284474175881208, -0.9725008225914669, 0.5310380075394037, 0.5002790086727732, -0.9179764086957031, -0.863021713368155]","[0.14786885544182132, 0.8064525201426991, 0.9753484361549637, 0.9142276705143129, 0.9841367912116432, 0.5651224562242689, 0.44676690276739806, -0.01054425520109259, -0.768624124470292, 0.9084391630894357, -0.055395680145297166, -0.6815139221671349, 0.8798732700041196, 0.31260853302148917, 0.8802558035075184, 0.91320623040864, -0.24812083691025758, -0.7119630745566002, 0.9591984790634334, 0.7268473305420556]"
3,20,-0.27186814087197037,-0.14916040609406211,-0.12051429140453526,-2.5,0.0,"[15.451019127134714, -0.08095964651329268, -17.521256112902392, 6.0167808235266875, -10.81382121156912, 23.657072590644702, -23.768289406000804, -14.645789487217826, 22.495795626716472, -3.5063483701171663, 1.4224445177630969, 15.797178595736568, 5.353184602639203, 12.730230561885492, -0.4591444539416898, -12.334955121470784, -5.682865108126862, -18.707747941191656, 3.980646387446768, -4.820538791881518]","[-0.9024204874642132, -0.42233793469886016, 0.7784899676903361, -0.8852138854039914, 0.7800423523201684, -0.9686746665136896, 0.6525184814517921, 0.61052157106175, -0.9418889733100753, 0.8276976895533522, -0.49503283313209395, -0.8494991281510818, -0.740382584987989, -0.9455759234897817, 0.3674686136549728, 0.014520744629061253, 0.516961967200926, -0.15490286843898587, -0.5826526105977647, 0.35715238674492567]","[0.4838286332441422, -0.26541854848276386, -0.9822217770305303, 0.6027652858614401, -0.9513275613837939, 0.7354992941763397, -0.928069473650821, -0.8325628796391208, 0.9795920105351617, -0.863027705984905, 0.3952938912856658, 0.5757061863774007, 0.19059045693567428, 0.9819652247071416, -0.40623297140558196, -0.7972014724047569, -0.7083086858491978, -0.2592405957246319, 0.5317525761785932, -0.893667715836161]"
4,20,-8.286503975749724,-0.47938231816266513,0.5157478755590003,0.0,0.0,"[-24.166315478796832, 14.941121307208505, -30.56014179278418, 0.8143568078198768, -5.72406891780679, -0.3502605794701594, 4.076362464782733, 0.9006255283873088, -9.709728562583223, 0.9178986741983408, -12.50079401436642, -9.932499901403844, -20.92609936418944, -11.713770514553516, 5.727697234468451, -37.07836314237875, -7.485200648413638, 2.1677338952140417, -23.06070056434828, -2.067931945978671]","[-0.9324700124746257, 0.6523410109130262, -0.6240422983276962, -0.17151646604102055, -0.9052730090477752, -0.769995377401145, 0.8967043467191905, -0.7307588027158536, -0.8826667038683109, -0.6961804763516054, -0.7890667583924829, -0.8647299392344582, -0.8974929576204981, -0.9714251350777275, 0.9193232406733294, -0.7561310285357679, -0.6438371615420464, 0.13878341398421679, -0.7193816833390094, -0.8398305655730426]","[0.958473223682593, -0.6837539150572178, 0.6538397678152905, 0.5067090490651713, 0.8866483454551464, 0.8399501510309826, -0.7984509194288006, 0.6341959534894384, 0.9665450057240835, 0.5042035281165984, 0.8640889856186905, 0.9566029497326234, 0.9197083773394167, 0.886736926222353, -0.9562124402473906, 0.9103439428520647, 0.9036975808780686, -0.3702794299776179, 0.9170122847496428, 0.8148981441188694]"
5,20,17.823160322494573,-0.563056649050702,-0.48470201655496226,0.0,1.0,"[-4.2804047625204475, 61.73096740910978, 19.45588123837547, 1.4866928557401025, 9.631601385119666, 27.527579123261376, 30.458483713050555, 71.26126901821772, 26.604806768728395, 2.7427463673459442, 22.27012060953848, 44.71548674145515, 8.529450286319843, -0.971020297692121, -0.8001506846151187, 32.323898000578765, 3.4502297825799815, -19.128606998882788, 5.9447273146240605, 13.509448579556647]","[-0.39813562201068053, -0.9699477464058001, -0.9701639433418513, -0.8420767654709651, -0.6593107099664414, -0.885819328727401, -0.8674970900129063, -0.8942727145935355, -0.9510179854604824, -0.6404554977416034, -0.9304529278147508, -0.9594441613111002, -0.9033267965776404, 0.9192999416036225, 0.4160936049135725, -0.9357753690791467, -0.07900139377665187, 0.8794285113655897, -0.7435929901137921, -0.8456639964920758]","[-0.17169622814412333, -0.8437721384204028, -0.991738312210627, -0.5436110408591313, -0.6855858882603981, -0.8504428213321782, -0.8295811783938897, -0.7924728599381672, -0.8696839803937798, -0.7500163724591211, -0.7026427424074332, -0.7781347065083519, -0.8032737927702279, 0.7983819977773078, 0.5946106120241967, -0.8887331204334422, 0.09271338071499322, 0.7825343713178229, -0.5760078899339506, -0.8848876204683398]"
6,20,-2.7293298813713704,-0.14542589608094275,0.0893970266413321,0.0,0.0,"[-8.421080654294656, 19.538584908139455, -10.720352321160817, -10.77631085155349, 7.503530078575523, -6.3563103706746915, -17.47734385220474, 8.906772824929249, -25.482355024891604, 0.6911403398178209, 6.633838161500762, 18.967834571975118, -0.04345203434900213, 35.6651686847606, -26.62036735184347, 4.568674667947789, -45.0947517918205, -8.155287323580296, 3.957713526772295, -1.872243815472757]","[-0.707258552307057, 0.944386957668993, -0.8832347266438524, -0.9245292121871206, 0.6712648413105149, -0.742695081367146, -0.9209685823145778, 0.6750307576075031, -0.9318540708986581, -0.32093369862436594, 0.7093555354200599, 0.7927339031471518, 0.4010087492017745, 0.8956800409112998, -0.9413126370359695, -0.1319525109352485, -0.9565289738518152, -0.8346748203419462, 0.8318448433781982, -0.5338806837565928]","[0.7849977011755326, -0.9513245460568411, 0.9730672152026062, 0.629408844204011, -0.7321836201156025, 0.9430678755283746, 0.8704403078212478, -0.38146725197371567, 0.7598102336072391, -0.16622068966010814, -0.9775139604058408, -0.869328046569401, -0.6475094676784505, -0.9179545819494757, 0.9064837806230995, -0.194315269475963, 0.9293748295968522, 0.9479058935804312, -0.8454137825311674, 0.7266150679038135]"
7,16,7.853709291011668,-0.47865071850083996,-0.4038921086944677,0.0,0.0,"[24.287637387570385, 19.004799844153467, 17.17515529746902, 32.37778878039899, -39.7193035686621, 20.595040858539278, 24.743111662133288, 43.277407262987936, 33.57100933552192, 18.250273422650025, -57.328762035925365, -78.33947988486898, 34.15037629544554, -37.29887608865283, 65.48495715527429, 5.428212932151837]","[-0.8879131549397576, -0.9545969031096779, -0.803858666864167, -0.6603566263353785, -0.14440657716661393, -0.5168825246600407, -0.9923941166162, -0.7889193325086346, -0.6789771904948971, -0.8743830991573491, -0.2144123590973513, 0.9780771028484798, -0.9050378510344517, 0.9234047623442967, -0.8617776119680325, -0.27597734725366363]","[-0.8655398419947493, -0.8894970500833757, -0.8346784551650333, -0.6507984776701887, 0.07652126491834804, -0.43251050495328847, -0.9493214932408018, -0.7785437239688553, -0.6902388790546208, -0.731799189207654, 0.20802831368699315, 0.851851858171386, -0.8500130142176885, 0.6968714592866823, -0.3060936074742012, -0.3165123981444349]"
8,19,-11.77931174106542,0.651418895111758,0.6588691303722483,0.0,0.0,"[-11.834867307979948, -24.7523785537378, -7.428926811772726, 2.708618453146755, -10.834211578168151, -24.7602917900183, -4.41671489840337, -7.1029341671703605, -23.001059720628064, -2.7938718440575485, -26.725248651795027, -2.9064822693435417, -4.371093475279167, -57.63066314629555, -9.308809122595903, -7.313866090372812, -8.284010598182704, 14.670838692953794, -7.720950200542575]","[0.9227723840128899, 0.9270716548916775, 0.7963220996019836, 0.5628907479283, 0.06635379345688608, 0.552001096887695, 0.5073236453395645, 0.7348714336043055, 0.7016324286073511, 0.9535724660368595, 0.6764416640454146, 0.6794597737497926, 0.9009011365830962, 0.8058673216882866, 0.9218883082644742, 0.8779728888176016, 0.8822417362232117, -0.41150863344466243, 0.31888306082867285]","[0.9301778350288733, 0.9340521262810058, 0.7645248875730052, 0.5834030306478643, 0.202692677332519, 0.6582066471000723, 0.46918515011825757, 0.6973429588582976, 0.5446111082178887, 0.9564851305029644, 0.916874400620548, 0.7786770625168017, 0.9024145012334297, 0.8338027346336994, 0.6130232902487917, 0.8919308686601325, 0.9702981897935764, -0.543211633849822, 0.4140225115548095]"
9,20,14.208944460212933,-0.5369283792380737,0.628954151164941,0.0,0.0,"[23.54692162391666, -31.859692033399824, -5.370417540889093, 24.561920464575678, 38.90400146291677, -16.96338743281217, 22.67428483735398, 34.58185515934724, 15.540263393240139, 2.0875458602431536, 13.863682858349648, 23.4517525302208, 0.4478107531376736, 40.67346321329842, 16.064389760917493, 32.193958816380245, 17.87925398880475, 23.4541941995883, 6.628946371539996, 1.8181409175288081]","[-0.9855417421293741, 0.7441332339330479, 0.9421127128800562, -0.9735216140173353, -0.989792496012767, 0.5901734543674029, -0.950639244731333, -0.687266768201257, -0.6356397441830652, -0.29368610743773643, -0.6211253953141602, -0.64206414820718, -0.7137082865460647, -0.8878627684554128, -0.6904662269219473, -0.9649630121944689, -0.7887221535971334, -0.5930210292635694, -0.919028568987377, -0.6779376797417969]","[0.9637889335582799, -0.6208259666824826, -0.8770148254123895, 0.903684467924845, 0.7987758783650531, -0.39541362016987625, 0.8749589293524749, 0.8638143989137255, 0.9809571438998935, 0.33294871829307443, 0.8881971376108746, 0.9630376539237611, 0.702230951517901, 0.983469931312428, 0.9305330556456696, 0.8415143938074041, 0.891187683661091, 0.9416147141249718, 0.7811391054641913, 0.8304843381879318]"
10,20,-0.5856048757681606,-0.17717404623143745,-0.05246866616161836,0.0,4.0,"[-16.97784545892091, -5.532310755034814, 9.220199708462815, 3.659328120350665, 10.331462774491683, -1.4150881040209242, 18.62564471765836, 3.0064104948714885, -66.59882845029915, 23.188570311268677, 0.47211283509045643, 13.399005323503388, -4.202348691808766, 22.68245366615338, -28.500055199494454, 1.987223302162647, 19.80589443477379, -4.349985577366397, -3.168154663675068, -7.345786303530076]","[0.6376082931938797, 0.5203018442397445, -0.9188640142246405, -0.5389459222253242, -0.5926807466191791, 0.16835613460259855, -0.8967573685750253, -0.7298361519017847, 0.8890193314747907, -0.727342901365004, -0.9048706370013044, -0.9462364454965589, 0.963170833412486, -0.766090776278238, 0.9454943640119642, -0.3746976660746321, -0.9172050915988975, 0.14963458746475308, -0.2964811838232763, 0.7929425921548994]","[0.7859167285648025, 0.3708939615003409, -0.9120322716130865, -0.6336213226992911, -0.4381451219312466, 0.4532101406619753, -0.7350014760720148, -0.4353635622236898, 0.325956946375571, -0.5508328561405281, -0.6989201045597558, -0.916341583332592, 0.892279743621965, -0.7242360203553352, 0.9567046664379254, 0.2861475716725994, -0.5057231480686291, 0.6790027037729021, 0.17423963218439925, 0.5764920489713209]"
