motif_id,instance_idx,start,end,length,distance,meta_waterzumpf_cv,meta_ore_cv,meta_watermill_cv,meta_pattern_type
1,0,246941,247001,60,0.0,,,,
1,1,247011,247071,60,0.0,,,,
1,2,246951,247011,60,0.0,,,,
2,0,40222,40282,60,9.424321830774485e-08,,,,
2,1,66136,66196,60,0.4497047985168082,,,,
2,2,90231,90291,60,0.4836076880333102,,,,
2,3,89236,89296,60,0.6334917700171293,,,,
2,4,47110,47170,60,0.7803679107763805,,,,
2,5,83742,83802,60,0.8028687430988803,,,,
2,6,48065,48125,60,0.8861456406689853,,,,
2,7,110277,110337,60,0.9203487243820715,,,,
2,8,109556,109616,60,0.9915362325875984,,,,
2,9,88785,88845,60,1.1287911723976913,,,,
2,10,39571,39631,60,1.4380837194455947,,,,
2,11,154673,154733,60,1.5730841436140046,,,,
2,12,46515,46575,60,1.7840664734805394,,,,
2,13,221319,221379,60,1.8120063240656954,,,,
2,14,149863,149923,60,2.1559709764237454,,,,
2,15,11284,11344,60,2.1738576381337205,,,,
2,16,171471,171531,60,2.2369027987305117,,,,
2,17,205474,205534,60,2.4502748205950136,,,,
2,18,236950,237010,60,2.628765364116062,,,,
2,19,139827,139887,60,2.6609444048931774,,,,
2,20,261214,261274,60,2.702838412468127,,,,
2,21,245316,245376,60,2.777661730219865,,,,
2,22,97082,97142,60,2.857264636742654,,,,
2,23,80035,80095,60,2.92999079619784,,,,
2,24,224865,224925,60,2.946993661651494,,,,
2,25,242802,242862,60,2.955446189761609,,,,
2,26,101273,101333,60,3.1455598540460796,,,,
2,27,222310,222370,60,3.1472478254014105,,,,
2,28,238040,238100,60,3.1564502827735823,,,,
2,29,190049,190109,60,3.181425091660281,,,,
2,30,243317,243377,60,3.231273638675443,,,,
2,31,107774,107834,60,3.2872119242506717,,,,
2,32,99767,99827,60,3.334658816031632,,,,
2,33,186349,186409,60,3.3512669380086515,,,,
2,34,257022,257082,60,3.386075973034804,,,,
2,35,52533,52593,60,3.4241528382677338,,,,
2,36,238370,238430,60,3.427370064674348,,,,
2,37,225765,225825,60,3.4399683442837836,,,,
2,38,91214,91274,60,3.440791452461744,,,,
2,39,52630,52690,60,3.4567804594652163,,,,
2,40,123296,123356,60,3.4570528548692643,,,,
2,41,22889,22949,60,3.487647271386675,,,,
2,42,226844,226904,60,3.5006395432099304,,,,
2,43,255790,255850,60,3.513249296515995,,,,
2,44,70314,70374,60,3.522521325775714,,,,
2,45,46382,46442,60,3.540632179784965,,,,
2,46,42001,42061,60,3.5600669531344513,,,,
2,47,122318,122378,60,3.563607917247543,,,,
2,48,63309,63369,60,3.5807786957192174,,,,
2,49,254127,254187,60,3.58281752421558,,,,
2,50,11815,11875,60,3.618944104201049,,,,
2,51,144035,144095,60,3.6223983150141623,,,,
2,52,179974,180034,60,3.6458598838906617,,,,
2,53,129103,129163,60,3.667787571609977,,,,
2,54,4448,4508,60,3.6685477265651887,,,,
2,55,218075,218135,60,3.7912256479934627,,,,
2,56,78142,78202,60,3.797602349072289,,,,
2,57,13323,13383,60,3.7993574218833484,,,,
2,58,547,607,60,3.8112347038690646,,,,
2,59,21671,21731,60,3.9000769201520384,,,,
2,60,247090,247150,60,3.902660517844996,,,,
2,61,232929,232989,60,3.924577607612176,,,,
2,62,242322,242382,60,3.932496804328754,,,,
2,63,126755,126815,60,3.9608244819319705,,,,
2,64,71865,71925,60,3.961450521732045,,,,
2,65,143075,143135,60,3.9759285607789865,,,,
2,66,73916,73976,60,3.977058665710119,,,,
2,67,81680,81740,60,3.977334552210857,,,,
2,68,166829,166889,60,3.997769622932216,,,,
2,69,84627,84687,60,4.018612822712799,,,,
2,70,244144,244204,60,4.020038105766855,,,,
2,71,148996,149056,60,4.042647587458371,,,,
2,72,97200,97260,60,4.060966583767466,,,,
2,73,131965,132025,60,4.061722473101479,,,,
2,74,76075,76135,60,4.06369821854921,,,,
2,75,228349,228409,60,4.07534070125448,,,,
2,76,258269,258329,60,4.093369093860843,,,,
2,77,41131,41191,60,4.10263567756879,,,,
2,78,1195,1255,60,4.133377427149983,,,,
2,79,251609,251669,60,4.14264343589261,,,,
2,80,266618,266678,60,4.1553209212124935,,,,
2,81,224925,224985,60,4.158084567090326,,,,
2,82,98526,98586,60,4.159617457443919,,,,
2,83,135772,135832,60,4.166353128691068,,,,
2,84,78243,78303,60,4.166665400966066,,,,
2,85,145555,145615,60,4.1726297255676155,,,,
2,86,112354,112414,60,4.226481451134918,,,,
2,87,36253,36313,60,4.229016939288887,,,,
2,88,260659,260719,60,4.23661213253185,,,,
2,89,77153,77213,60,4.302697451506095,,,,
2,90,62708,62768,60,4.3087570981557235,,,,
2,91,137325,137385,60,4.32862111692533,,,,
2,92,249287,249347,60,4.3290996789932565,,,,
2,93,264690,264750,60,4.344712287128448,,,,
2,94,246462,246522,60,4.352964769709465,,,,
2,95,100240,100300,60,4.370837998521678,,,,
2,96,144095,144155,60,4.386188590314896,,,,
2,97,43781,43841,60,4.389377557799797,,,,
2,98,77034,77094,60,4.392934971593049,,,,
2,99,11513,11573,60,4.394732364846748,,,,
2,100,113188,113248,60,4.403150532580244,,,,
2,101,257892,257952,60,4.409225434090551,,,,
2,102,65847,65907,60,4.418818045608106,,,,
2,103,247763,247823,60,4.431205190027698,,,,
2,104,168613,168673,60,4.451268479281765,,,,
2,105,248712,248772,60,4.476074134090523,,,,
2,106,46277,46337,60,4.491183482947068,,,,
3,0,64327,64387,60,7.208220137624636e-07,,,,
3,1,67495,67555,60,0.7358234892872086,,,,
3,2,24952,25012,60,0.912275926763768,,,,
3,3,64986,65046,60,1.2950657969910433,,,,
3,4,187536,187596,60,1.602680571196125,,,,
3,5,67351,67411,60,1.9409199677750788,,,,
3,6,112203,112263,60,2.2059554223453413,,,,
3,7,134758,134818,60,2.3570472520806547,,,,
3,8,130296,130356,60,2.379620787116113,,,,
3,9,65589,65649,60,2.4169262202384503,,,,
