motif_id,num_instances,avg_density_change,avg_ore_density_corr,avg_watermill_density_corr,avg_ore_lag,avg_watermill_lag,density_changes,ore_density_corrs,watermill_density_corrs
1,20,-0.004206568435915869,-0.11874356491568852,0.04568242912542549,-4.5,0.0,"[-3.5852677447999213, -6.978089601437432, 1.5407476950019827, 15.765858352301166, -5.989348033303713, 2.2082468785663423, 2.045994851970363, -8.49850226158128, 6.681319175713497, -3.542589505601427, -4.930737068165399, 1.8745398004232356, -6.175674874414199, 8.825168347987983, 2.700304682055048, 12.909383966030646, 0.9696755622721867, 5.179950383826963, 8.356958454115102, -29.44207042967946]","[-0.8049049570187229, -0.6474574396387025, -0.12669169094849203, 0.8919678922950616, -0.8388085370363519, 0.020860598701680465, -0.04649267025380536, -0.8978410302384909, 0.7456045765345097, -0.6202489914252579, -0.8208344738564418, -0.26459118719905766, -0.9292732879581319, 0.66640827592243, -0.23129047189931756, 0.38620470743610985, 0.32968491114581855, 0.7062773339409866, 0.6370894995400466, -0.5305343563576409]","[0.7090189032592349, 0.6340237403160456, -0.22509445301476674, -0.9138545776983488, 0.4504761765231211, -0.549195347243667, -0.27653978202462315, 0.9690533227926499, -0.7153125777856493, 0.8610030688303195, 0.8433194050877106, -0.04764767974821848, 0.9539239138216955, -0.9847215843918905, 0.0893895551979472, -0.8645683191771678, 0.09901983806493472, -0.7380340541131429, -0.36162665876233807, 0.9810156925746637]"
2,20,13.734699837152505,-0.573933202530519,-0.5604211600263607,0.5,0.0,"[-3.5427261871675455, 14.576799516278243, 11.7698569208776, 6.232201195404059, 85.75017702384662, 23.866578395647366, 29.66258692061615, 13.541210699734393, 2.6330646845610772, 5.153438624861337, 14.51189918174282, 10.338645845538167, 9.075427925901977, -9.887835643035487, 23.099163517793613, 13.267507961526917, 6.305097684994962, 17.63141577334636, 0.4291522064881974, 0.2803344940932675]","[-0.3841240155781811, -0.9840127532953388, -0.9843614634115126, -0.39635534502616304, -0.9939806304528821, -0.9077275794904355, -0.7673785110050394, -0.867167670711017, 0.5023078251209631, -0.6440730722457843, -0.7719108735028093, -0.8120999350318095, -0.9009360411543715, 0.656108645127836, -0.6199719705155546, -0.8229566284900286, -0.7474345570729503, -0.8318469931976329, -0.8108919903672901, 0.6101495096896203]","[-0.44957932754556107, -0.9682201214740602, -0.8619307254447071, -0.22523728354558267, -0.8577671776663357, -0.8500177609947449, -0.390267112759128, -0.9563432561879506, 0.26902035291857856, -0.41418972594331366, -0.9336186402718826, -0.9320054246227264, -0.8321591909394295, 0.8572952200631148, -0.9335258414827907, -0.9036549961524276, -0.5675700110290592, -0.9375081581356449, -0.8039488400483238, 0.48280482073476255]"
3,20,16.219501135603934,-0.6008637258480071,0.7880478764789481,0.0,0.0,"[18.58053051344359, 15.442812343134847, 16.743826512739815, 15.902130816745967, 25.482921045888588, 18.513794013041434, 10.887250464769295, 31.52525050888812, 16.78760377746721, 7.998726016794535, -5.764852082363632, 16.626309244089498, 14.851380706415966, 18.83235124451585, -0.20777716866837181, 15.223487771823102, 17.08675101361223, 41.356979578755045, 24.602215357363775, 3.9183310336218256]","[-0.7421641410763442, -0.854834122399531, -0.6917565757435333, -0.753091296210792, -0.7731201371164768, -0.8264004302182858, -0.10775133620605687, -0.9289650377983752, -0.8400814253138374, -0.8527898858071254, 0.8274198993291647, -0.8302931707775315, -0.8390238152180765, -0.8789574858204084, 0.5138396710401826, -0.7871970698546741, -0.5089908582940007, -0.9696450141361272, -0.5191082016352606, -0.6543640837030521]","[0.9671802449757875, 0.911561217905796, 0.9515374305372655, 0.9834376015601002, 0.9826003849293113, 0.9421225308136992, 0.8234119406354886, 0.9062314440184995, 0.8848064594648749, 0.8937534546183983, -0.7365892897819706, 0.8976679199315714, 0.7966194773649715, 0.7367816930018722, 0.39306796476084277, 0.9519600385120743, 0.8422056034504734, 0.7939655017860522, 0.9938295404564442, 0.8448063706374106]"
4,20,-8.287242195390126,-0.4236265299346818,0.37844099745262766,0.0,0.0,"[-23.335467049118506, -7.252752621900527, 2.679167579294244, 1.5702525047818199, -1.2381438332024572, 3.635727314665246, -5.795051991050286, 55.160874977270396, -15.963525784987269, -36.797453134573516, 0.19893679415577026, -9.680851369492302, 3.10180569052136, 1.4465352766260366, -12.212633377412658, -8.505126608175033, -22.870090137111674, -2.414141753195736, -54.34834633793798, -33.12456004695946]","[-0.9456895647567652, -0.6568898701137781, 0.5087777325301175, -0.1607654949940333, -0.7470279500582456, 0.8101741073491052, -0.7654779368806464, 0.07138688778297696, -0.8885828932710439, -0.5536962159658589, -0.5449142280849868, -0.7452483827786176, -0.27648113928320595, -0.30490540490167883, -0.6239581546158014, -0.9431255966302866, -0.5855742531756285, 0.057951109591601324, -0.7664064839812208, -0.4120768664556402]","[0.9595810861945351, 0.6438334941371323, -0.2773694021477916, -0.35272375640290954, 0.5443340643361797, -0.944531003283793, 0.20672678140902997, -0.5213197933677421, 0.9098469310278663, 0.8601488477343397, 0.3896912419576803, 0.35237532136516797, -0.07242643599439788, 0.6622776374606035, 0.7205507009059804, 0.7000841730741958, 0.8573112607338045, 0.05971269642155634, 0.8931190866422777, 0.9775970168488375]"
5,6,-1.2465392394788068,-0.26682907757066304,0.5188315265358197,-3.5,0.0,"[1.084512064938508, -24.5052885918667, 31.151494242435092, -16.755377992259582, -13.459954955926378, 15.00537979580622]","[-0.5334359583068291, 0.282372277655166, -0.9772605174654012, 0.13540262091198452, 0.16128759243498564, -0.6693404806538843]","[0.93413650616577, 0.7986071668645737, 0.4276940841286642, 0.579826194680864, -0.049451059897637914, 0.4221762672726839]"
6,5,5.374017917214815,-0.1837455889327902,0.14301652105609913,3.0,1.0,"[-8.85506561685338, -5.171672323968323, 29.913527708509264, 12.068294287076696, -1.0849944686901836]","[0.6739831953473372, 0.6062724384589043, -0.9264423982240442, -0.7303510759819725, -0.5421901042641759]","[-0.6717246013298435, -0.7738658534092003, 0.7795755819513099, 0.7049764095365763, 0.6761210685316534]"
7,15,-3.1654269421338994,0.03576507812602789,-0.2844885591867869,0.0,0.0,"[-10.921006911522909, -5.739048090284996, -2.46941406094561, -11.63275612964867, -7.109658256845705, -8.444811878546261, 4.518519062432688, 6.756489986498536, -20.62761223690859, 8.146720201504422, -3.3790915514296103, -30.29046443397715, 11.758395941744311, 14.572859423514274, 7.379474802406776]","[0.27882571563233804, -0.30165582749325, 0.030248336904823134, 0.5812610461264762, 0.4269113039673211, 0.7891547439601103, -0.7245954840682997, -0.8766294516554705, 0.5345961659983783, 0.2045651336391659, 0.6679083168201247, 0.8554603328867563, -0.5216590413287493, -0.8499700559705045, -0.5579450635288019]","[-0.8018251715021542, -0.15305488279359672, -0.8136931267084361, -0.9851079726149858, -0.8849686027779654, -0.8758381601399886, -0.3913557002981402, 0.9790252664111686, -0.9592214565320617, 0.4242366929528972, -0.8936705500873792, -0.8823027068207541, 0.6649560980298687, 0.7674725170704826, 0.5380193680092423]"
8,20,-6.942086265134594,0.6102330466744321,0.6382877991391009,0.0,0.0,"[-10.26981520471577, -13.291862155268973, -5.632691237546169, -16.595972906842917, -1.072866054779979, 7.876527342338932, -6.5680941224368325, -8.911220567550572, -24.206448800353655, -9.136342225957378, -1.1964850885485703, -2.022053030052575, -4.3412732434064765, 3.5797700116077067, -27.823156202939344, -7.097688576541259, -3.4874122993358014, -0.40127288148732987, -5.36195737459866, -2.8814106842762612]","[0.9444716835528612, 0.7724442009491854, 0.86801930935342, 0.8476032585759364, 0.932816568447364, -0.460136360265171, 0.9020369738795648, 0.8925829060042842, 0.840555300685271, 0.9360000754620837, 0.4339378336828593, 0.28608623148552126, 0.9102953430971944, 0.23163959629175185, 0.806570834084668, -0.023287879649031056, 0.8879017105384472, -0.3013788884894839, 0.654898277500961, 0.841603958300956]","[0.7368137295715214, 0.958775534347696, 0.9661882600689455, 0.7104815284966616, 0.7585177960644518, -0.33613472415700724, 0.851405985537412, 0.9743592696998682, 0.925966525192907, 0.8602511969008851, 0.3427602132586339, 0.29238761403080815, 0.8592304727837142, 0.11392115410360497, 0.9676204018874528, 0.6426796522535062, 0.6653678777433074, -0.022903500379546096, 0.6307070040016954, 0.867359991375499]"
9,20,-9.485319415319953,-0.5378394906820944,0.4708503154945215,0.0,0.0,"[-62.858350770254674, -6.877618682564162, -4.466188976164858, -5.630308210029625, -0.7548491903728518, -8.038079936035956, -17.15049646246075, -11.419928147550308, 4.132076060918507, -9.79928166618879, -9.091644008830826, -27.26478592952867, 7.217008415457258, -4.193662176256112, -6.091764901564602, -23.79082729129823, -11.94298128662399, -5.097015280868163, 12.613425285794165, 0.7988848480235902]","[-0.9826894930843363, -0.7009037760023422, -0.7635764448242018, -0.6047685126486476, -0.7304862868176608, -0.9845695211036568, -0.9179811126058357, -0.8520632434060461, 0.3442336142692156, -0.40054017763172195, -0.9306379499708012, -0.6067071552043684, 0.798452672488923, -0.3838402966078327, -0.7520761367269466, -0.9086179794055134, -0.9174753836307362, -0.671804677552219, 0.9161920945568275, -0.7069300477339874]","[0.8880230292718535, 0.534722039039382, 0.7125288727333423, 0.8731660004964189, 0.7965159032313126, 0.7955761274514752, 0.893306943143597, 0.9646369345813303, -0.5371391690815618, -0.022926998928986336, 0.8013491845177451, 0.8458339602693852, -0.8675728782911114, 0.5641263645564485, 0.6160881153448683, 0.7121811614417407, 0.8062939997195793, 0.7024831468813053, -0.8048715459595804, 0.14268511947188567]"
10,20,-2.6394726852386725,-0.22852240568031426,-0.21489656713183733,-2.0,0.0,"[5.67859708269043, 5.8068260004336025, -1.8692713372947765, 6.235175743110403, 8.523346083599563, 18.36649895402593, -1.2880094631261727, -9.203500156593236, 4.746194922837276, -22.64418175840501, 24.393398655167857, -6.152465402909456, -11.788090911894642, -4.747820414491571, -23.47833880111989, 10.231993078772803, -3.0415968315769533, -19.810991308494067, -10.913984824449699, -21.83323301505584]","[-0.05883146838162199, 0.5143092763703682, -0.7088164136602073, 0.7309856010158364, 0.5188076577652033, 0.8695674895144264, -0.18848898812708176, -0.657385839464697, 0.6469844707166629, -0.7763959776171239, 0.4642592122551668, -0.9019869764986764, -0.952176269759596, -0.7631367815184321, -0.9828322669469431, 0.48000727398888265, -0.05902254839956458, -0.8147480072748685, -0.9788116518170019, -0.9527359057670172]","[0.16121547202319536, 0.6538275106382518, -0.8572596659689975, 0.7535409081217972, 0.7469254865075076, 0.867562913405267, -0.10474178542644463, -0.9062951574334628, 0.48253558468263724, -0.9482756080100123, 0.6987953815174439, -0.6126444757392655, -0.8554471204758796, -0.8226451917546651, -0.873886597767024, 0.2980866929757363, -0.49438299980839423, -0.8202278509499078, -0.8685594622307669, -0.7960553769437627]"
