motif_id,num_instances,avg_distance,PressureHC_vs_PulpHC,WaterZumpf_vs_PressureHC
1,3,0.0,,
2,8,3.176116571063891,,
3,4,3.1945860374552826,,
4,60,3.6826449793061036,,
5,73,3.635817506131796,,
6,3,2.7606122974738496,,
7,6,3.569750526580088,,
8,71,3.617468077797618,,
9,104,3.9112454302397652,,
10,21,3.8696387086980883,,
11,8,4.134680849021367,,
12,7,3.757198574673806,,
13,3,3.752464696096861,,
14,2,2.083546281762577,,
15,18,3.891135178790742,,
16,3,4.322154258155944,,
17,39,4.006344535202224,,
18,44,3.9722879905711834,,
19,58,3.8826144703780705,,
20,7,3.4123882190225423,,
