motif_id,num_instances,avg_distance,WaterZumpf_vs_PulpHC,WaterZumpf_vs_PressureHC
1,51,3.402490951820334,,
2,10,3.2688781270513707,,
3,4,4.490962639432665,,
4,2,2.966444658008318,,
5,4,4.38646899634594,,
6,65,3.9383203310118238,,
7,44,4.007149878000212,,
8,8,4.633215690503112,,
9,36,4.057972629763218,,
10,30,4.077107171550728,,
11,6,4.433605706427346,,
12,21,4.2171989176048825,,
13,71,4.210940944247767,,
14,1,0.979764822022509,,
15,49,4.219382400589553,,
16,43,3.92701709881928,,
17,17,4.3516523961753535,,
18,26,4.228679801840578,,
19,3,3.511154685987254,,
20,40,4.362337019787257,,
